arm,seed,step,actor/distillation/abs_loss,actor/distillation/delta_ell_absmean,actor/distillation/delta_ell_p5,actor/distillation/delta_ell_p95,actor/distillation/entropy_gap_abs,actor/distillation/entropy_student,actor/distillation/entropy_teacher_topk,actor/distillation/loss,actor/distillation/overlap_student_mass,actor/distillation/overlap_teacher_mass,actor/distillation/overlap_token_advantage,actor/distillation/pg_clipfrac,actor/distillation/ppo_kl,actor/distillation/rank_kendall_tau,actor/distillation/student_mass,actor/distillation/teacher_mass,actor/entropy,actor/grad_norm,actor/loss,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/mean,critic/rewards/mean,critic/score/mean,perf/time_per_step,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/ppl_ratio,rollout_corr/rollout_ppl,rollout_corr/training_ppl,timing_s/gen,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,val/math500_greedy
a2_coldstart,1,25,0.522659,0.522659,-2.87619,0.340515,,,,0.41184,,,,0,0,,,,0.459848,2.32692,0.41184,0,0,-0.094867,0,0.094867,0.101562,0.101562,769.454,0,0.578125,16384,12768,8.44896,0.00195324,0.000973134,0.000975547,1.00106,1.70983,1.71173,594.909,0.999128,0.510341,0.0048818,0.454
a2_coldstart,1,50,0.390271,0.390271,-2.18635,0.174722,,,,0.307248,,,,0,0,,,,0.241378,0.763072,0.307248,0,0,-0.0859374,0,0.0859374,0.0859375,0.0859375,1076.29,0,1,16384,16384,1.06949,0.0014807,0.000751616,0.000769002,1.00077,1.2776,1.27861,849.844,0.998904,0.439691,0.0040942,0.426
a2_coldstart,1,75,0.371734,0.371734,-2.10181,0.147461,,,,0.29302,,,,0,0,,,,0.2303,0.606863,0.29302,0,0,-0.125,0,0.125,0.125,0.125,1053.08,0,1,16384,16384,-0.960421,0.00149691,0.000752305,0.000764627,1.00077,1.2621,1.26309,833.183,0.998703,0.440033,0.00397747,0.47
a2_coldstart,1,100,0.359618,0.359618,-2.03634,0.14922,,,,0.284356,,,,0,0,,,,0.239697,0.57248,0.284356,0,0,-0.0703124,0,0.0703124,0.0703125,0.0703125,1059.46,0,1,16384,16384,1727.25,0.0017091,0.000783314,0.000720671,1.00072,1.27302,1.27395,829.33,0.998674,0.902822,0.00408026,0.488
a2_coldstart,1,125,0.336787,0.336787,-1.88322,0.137726,,,,0.265308,,,,0,0,,,,0.230919,0.607958,0.265308,0,0,-0.0859374,0,0.0859374,0.0859375,0.0859375,1050.09,0,1,16384,16384,-0.34277,0.00150681,0.000756893,0.000768604,1.00077,1.26242,1.26342,831.13,0.998746,0.778582,0.00388493,0.444
a2_coldstart,1,150,0.317004,0.317004,-1.77743,0.116142,,,,0.249726,,,,0,0,,,,0.218705,0.559145,0.249726,0,0,-0.0781249,0,0.0781249,0.078125,0.078125,1048.93,0,1,16384,16384,-0.736211,0.00142646,0.00071711,0.000725084,1.00073,1.24765,1.24857,829.432,0.999008,0.809257,0.0036602,0.44
a2_coldstart,1,175,0.320067,0.320067,-1.7705,0.130498,,,,0.251494,,,,0,0,,,,0.227601,0.520966,0.251494,0,0,-0.117187,0,0.117187,0.117188,0.117188,1051.72,0,1,16384,16384,0.728307,0.00155294,0.000741288,0.00070785,1.00071,1.25948,1.26039,831.113,0.998667,0.68754,0.00379429,0.48
a2_coldstart,1,200,0.324507,0.324507,-1.82002,0.130996,,,,0.251572,,,,0,0,,,,0.2269,0.551407,0.251572,0,0,-0.109375,0,0.109375,0.109375,0.109375,1059.57,0,1,16384,16384,-0.855385,0.00148296,0.000730313,0.000722936,1.00072,1.25958,1.26051,833.144,0.999071,0.644986,0.00372457,0.47
a2_coldstart,1,225,0.343219,0.343219,-1.92224,0.149051,,,,0.267198,,,,0,0,,,,0.236506,0.550516,0.267198,0,0,-0.101562,0,0.101562,0.101562,0.101562,1056.4,0,1,16384,16384,-0.894639,0.00160003,0.000783853,0.000781005,1.00078,1.26964,1.27065,831.191,0.998632,0.718624,0.00403342,0.48
a2_coldstart,1,250,0.335806,0.335806,-1.86745,0.151884,,,,0.261146,,,,0,0,,,,0.246158,0.527059,0.261146,0,0,-0.0781249,0,0.0781249,0.078125,0.078125,1051.26,0,1,16384,16384,102.619,0.00167811,0.000793524,0.000757409,1.00076,1.28191,1.2829,829.109,0.998473,0.561842,0.00405731,0.494
a2_coldstart,2,25,0.535028,0.535028,-2.98839,0.341289,,,,0.421866,,,,0,0,,,,0.443919,2.3719,0.421866,0,0,-0.128296,0,0.128296,0.125,0.125,814.33,0,0.625,16384,13423.5,-0.991805,0.00201726,0.000982845,0.000961342,1.00103,1.65863,1.66045,631.125,0.999053,0.532515,0.00500534,0.422
a2_coldstart,2,50,0.367617,0.367617,-2.07171,0.150801,,,,0.290488,,,,0,0,,,,0.229564,0.749055,0.290488,0,0,-0.121623,0,0.121623,0.125,0.125,1050.53,0,0.984375,16384,16247.4,-0.214514,0.00146699,0.000718308,0.000714172,1.00072,1.26308,1.26401,827.719,0.998656,0.496461,0.00386265,0.456
a2_coldstart,2,75,0.357125,0.357125,-2.01565,0.137974,,,,0.28462,,,,0,0,,,,0.228907,0.612676,0.28462,0,0,-0.0546874,0,0.0546874,0.0546875,0.0546875,1055.63,0,1,16384,16384,-0.544609,0.00153613,0.00074818,0.000735764,1.00074,1.26128,1.26223,833.367,0.998674,0.664739,0.00392011,0.428
a2_coldstart,2,100,0.338881,0.338881,-1.92609,0.124531,,,,0.268048,,,,0,0,,,,0.225585,0.536122,0.268048,0,0,-0.117187,0,0.117187,0.117188,0.117188,1059.44,0,1,16384,16384,-0.730467,0.00134921,0.000718117,0.000769025,1.00077,1.25514,1.25613,833.485,0.998695,0.410195,0.00371982,0.454
a2_coldstart,2,125,0.332062,0.332062,-1.86759,0.127468,,,,0.263094,,,,0,0,,,,0.226808,0.543812,0.263094,0,0,-0.0624999,0,0.0624999,0.0625,0.0625,1054.71,0,1,16384,16384,-0.910979,0.00148487,0.00073219,0.000728703,1.00073,1.25764,1.25858,833.602,0.998732,0.508357,0.00377604,0.466
a2_coldstart,2,150,0.341696,0.341696,-1.90227,0.145434,,,,0.268003,,,,0,0,,,,0.238981,0.510312,0.268003,0,0,-0.0781249,0,0.0781249,0.078125,0.078125,1053.93,0,1,16384,16384,-0.925448,0.00155401,0.000759571,0.000745845,1.00075,1.27414,1.27511,833.127,0.998645,0.593058,0.00392485,0.458
a2_coldstart,2,175,0.353982,0.353982,-1.98763,0.156794,,,,0.278921,,,,0,0,,,,0.248607,0.591417,0.278921,0,0,-0.0937499,0,0.0937499,0.09375,0.09375,1068.39,0,1,16384,16384,1.35107,0.00165021,0.000798402,0.000777866,1.00078,1.28533,1.28636,833.849,0.998739,0.752923,0.00411618,0.496
a2_coldstart,2,200,0.316537,0.316537,-1.76152,0.12704,,,,0.246444,,,,0,0,,,,0.225382,0.512407,0.246444,0,0,-0.109375,0,0.109375,0.109375,0.109375,1071.13,0,1,16384,16384,0.0865864,0.00152147,0.0007216,0.000689105,1.00069,1.25595,1.25684,833.115,0.99758,0.496754,0.00369254,0.482
a2_coldstart,2,225,0.336822,0.336822,-1.88127,0.148073,,,,0.260839,,,,0,0,,,,0.237279,0.551683,0.260839,0,0,-0.109375,0,0.109375,0.109375,0.109375,1061.68,0,1,16384,16384,-0.991602,0.00159001,0.000767563,0.000754109,1.00075,1.27089,1.27186,833.412,0.998617,0.463579,0.00396009,0.494
a2_coldstart,2,250,0.327209,0.327209,-1.81439,0.137287,,,,0.254277,,,,0,0,,,,0.234655,0.499912,0.254277,0,0,-0.101562,0,0.101562,0.101562,0.101562,1068.07,0,1,16384,16384,48.4603,0.00155497,0.00075388,0.000737028,1.00074,1.26787,1.26883,835.295,0.99862,0.554596,0.00388434,0.52
b1_skew_kl,0,25,0.361244,0.361244,-1.72612,0.385318,,,,0.239031,,,,0,0,,,,0.891992,1.9765,0.239031,0,0,-0.0381789,0,0.0381789,0.0703125,0.0703125,111.619,0,0.0078125,16384,1564.18,0.127122,0.00147605,0.000894242,0.0010534,1.00151,112.072,112.758,62.4939,0.999569,0.133634,0.00394335,0.58
b1_skew_kl,0,50,0.27935,0.27935,-1.71102,0.171686,,,,0.205291,,,,0,0,,,,0.265991,1.17701,0.205291,0,0,-0.0223642,0,0.0223642,0.0625,0.0625,637.189,0,0.445312,16384,10567.6,0.789363,0.0014174,0.000687169,0.00066794,1.00079,1.48522,1.4867,484.722,0.998878,0.201625,0.00384065,0.626
b1_skew_kl,0,75,0.394674,0.394674,-2.05517,0.367447,,,,0.271073,,,,0,0,,,,0.441006,0.761323,0.271073,0,0,-0.0488062,0,0.0488062,0.0703125,0.0703125,485.348,0,0.140625,16384,9520.59,2.73584,0.00236237,0.0011409,0.00110879,1.00114,1.60477,1.60666,355.041,0.998798,0.558787,0.0059901,0.628
b1_skew_kl,0,100,0.4043,0.4043,-2.0659,0.391836,,,,0.275077,,,,0,0,,,,0.485898,0.626903,0.275077,0,0,-0.0989095,0,0.0989095,0.125,0.125,471.343,0,0.109375,16384,9337.52,-0.804005,0.00274467,0.00125048,0.0011356,1.00114,1.68377,1.68577,336.548,0.998807,0.5608,0.00631322,0.618
b1_skew_kl,0,125,0.390586,0.390586,-2.02239,0.390209,,,,0.261886,,,,0,0,,,,0.478394,0.518942,0.261886,0,0,-0.0713521,0,0.0713521,0.101562,0.101562,402.404,0,0.046875,16384,8619.11,-0.985367,0.00256801,0.00126339,0.00125235,1.00127,1.6626,1.66479,279.217,0.998919,0.470689,0.00631222,0.642
b1_skew_kl,0,150,0.390005,0.390005,-2.02037,0.401511,,,,0.258726,,,,0,0,,,,0.486159,0.514607,0.258726,0,0,-0.0705237,0,0.0705237,0.101562,0.101562,406.182,0,0.0234375,16384,8799.9,103.587,0.00247407,0.00130107,0.00137337,1.00141,1.65857,1.66097,285,0.998784,0.292957,0.00649262,0.598
b1_skew_kl,0,175,0.388968,0.388968,-2.01444,0.405458,,,,0.256946,,,,0,0,,,,0.496492,0.472412,0.256946,0,0,-0.0861604,0,0.0861604,0.109375,0.109375,399.336,0,0.0078125,14859,8958.12,-0.757456,0.00264859,0.00133193,0.00134661,1.00134,1.6676,1.6699,279.026,0.998834,0.353328,0.00655591,0.642
b1_skew_kl,0,200,0.347515,0.347515,-1.90899,0.345089,,,,0.231831,,,,0,0,,,,0.432257,0.421484,0.231831,0,0,-0.126612,0,0.126612,0.15625,0.15625,421.332,0,0.0390625,16384,9078.66,-0.738132,0.00237858,0.00122391,0.00126637,1.0013,1.58577,1.5879,298.446,0.999082,0.787706,0.00603615,0.65
b1_skew_kl,0,225,0.330214,0.330214,-1.87048,0.319817,,,,0.221369,,,,0,0,,,,0.412153,0.581041,0.221369,0,0,-0.0953635,0,0.0953635,0.109375,0.109375,683.164,0,0.375,16384,12232.7,-0.999858,0.00242257,0.00117632,0.00114899,1.00121,1.55957,1.56153,515.542,0.998743,0.634807,0.00585056,0.416
b1_skew_kl,0,250,0.253746,0.253746,-1.63031,0.222723,,,,0.167184,,,,0,0,,,,0.316573,0.316442,0.167184,0,0,-0.0770831,0,0.0770831,0.078125,0.078125,1002.84,0,0.90625,16384,15746.8,-0.986594,0.00196826,0.000937983,0.000897873,1.00092,1.38828,1.38959,791.521,0.998823,0.601398,0.00464666,0.468
b1_skew_kl,1,25,0.344526,0.344526,-1.87154,0.308596,,,,0.239351,,,,0,0,,,,0.620015,1.9028,0.239351,0,0,-0.0402684,0,0.0402684,0.0859375,0.0859375,120.764,0,0.0078125,16384,1655.3,6.24037,0.00165451,0.000824704,0.000828975,1.00089,29.269,29.6583,64.4204,0.999517,0.241092,0.00383403,0.608
b1_skew_kl,1,50,0.314063,0.314063,-1.81607,0.215081,,,,0.224396,,,,0,0,,,,0.351864,1.36483,0.224396,0,0,-0.00333283,0,0.00333283,0.0234375,0.0234375,637.621,0,0.4375,16384,10578.9,-0.0609848,0.00149262,0.000777532,0.000811761,1.00087,1.60236,1.60409,482.832,0.999023,0.231,0.00415347,0.63
b1_skew_kl,1,75,0.402906,0.402906,-2.09854,0.380146,,,,0.275947,,,,0,0,,,,0.453509,0.749228,0.275947,0,0,-0.0810272,0,0.0810272,0.101562,0.101562,470.065,0,0.0859375,16384,9111.61,-0.586582,0.00229061,0.00118046,0.00122565,1.00125,1.60662,1.60868,327.723,0.998969,0.341649,0.00614432,0.624
b1_skew_kl,1,100,0.402059,0.402059,-2.02342,0.396309,,,,0.271916,,,,0,0,,,,0.49365,0.594673,0.271916,0,0,-0.0671672,0,0.0671673,0.0859375,0.0859375,459.663,0,0.0703125,16384,9305.7,-0.935873,0.00246191,0.00125354,0.00128151,1.00134,1.69882,1.70119,326.804,0.99883,0.318626,0.00624315,0.622
b1_skew_kl,1,125,0.397223,0.397223,-2.04671,0.401858,,,,0.266041,,,,0,0,,,,0.48457,0.517837,0.266041,0,0,-0.0912478,0,0.0912478,0.132812,0.132812,421.711,0,0.03125,16384,8890.36,-0.981186,0.00255013,0.00129155,0.00131469,1.00132,1.65427,1.65652,296.439,0.998735,0.440034,0.00645565,0.606
b1_skew_kl,1,150,0.385786,0.385786,-2.00213,0.397831,,,,0.255958,,,,0,0,,,,0.487372,0.57479,0.255958,0,0,-0.0661717,0,0.0661717,0.09375,0.09375,406.77,0,0.0234375,16384,8770.98,-0.997084,0.00270998,0.00131787,0.001296,1.00134,1.66554,1.66785,284.668,0.998792,0.797716,0.00647748,0.622
b1_skew_kl,1,175,0.368483,0.368483,-1.96147,0.375672,,,,0.244481,,,,0,0,,,,0.466195,0.482445,0.244481,0,0,-0.0952078,0,0.0952078,0.125,0.125,423.008,0,0.03125,16384,9026.3,-0.347741,0.0026716,0.00127035,0.00121198,1.00126,1.64936,1.65154,286.559,0.998756,0.383558,0.00620415,0.646
b1_skew_kl,1,200,0.380136,0.380136,-1.99891,0.393737,,,,0.251942,,,,0,0,,,,0.482496,0.454382,0.251942,0,0,-0.101535,0,0.101535,0.117188,0.117188,434.726,0,0.0234375,16384,9321.99,-0.941936,0.0027281,0.00133369,0.00131191,1.00132,1.6597,1.66196,306.456,0.998636,0.955927,0.00652182,0.59
b1_skew_kl,1,225,0.240979,0.240979,-1.59382,0.19302,,,,0.159825,,,,0,0,,,,0.290617,0.320215,0.159825,0,0,-0.0157811,0,0.0157811,0.015625,0.015625,1039.83,0,0.984375,16384,16221.9,-0.998312,0.0016402,0.000855896,0.000890533,1.0009,1.34694,1.34817,821.049,0.998799,0.656057,0.00430152,0.476
b1_skew_kl,1,250,0.249604,0.249604,-1.61687,0.21538,,,,0.16556,,,,0,0,,,,0.313628,0.310074,0.16556,0,0,-0.109021,0,0.109021,0.109375,0.109375,1005.46,0,0.914062,16384,15630.6,12.8208,0.00184083,0.000913922,0.000910831,1.00093,1.38867,1.39,789.331,0.998643,0.424574,0.00455033,0.476
b1_skew_kl,2,25,0.303919,0.303919,-1.57604,0.270681,,,,0.208884,,,,0,0,,,,0.675008,1.64254,0.208884,0,0,-0.0181446,0,0.0181446,0.0390625,0.0390625,148.849,0,0.0234375,16384,1843.7,1.95871,0.00110161,0.000747807,0.000947544,1.00039,16.8329,16.6181,81.5268,0.999533,0.293703,0.00346794,0.594
b1_skew_kl,2,50,0.30073,0.30073,-1.7608,0.203701,,,,0.216045,,,,0,0,,,,0.315254,1.23749,0.216045,0,0,-0.0218466,0,0.0218466,0.0625,0.0625,666.872,0,0.492188,16384,11038.2,-0.676313,0.00147212,0.000734572,0.000735634,1.00075,1.4523,1.45355,504.746,0.998977,0.234991,0.00402228,0.624
b1_skew_kl,2,75,0.408407,0.408407,-2.09974,0.382636,,,,0.28046,,,,0,0,,,,0.451929,0.815122,0.28046,0,0,-0.0492123,0,0.0492123,0.078125,0.078125,411.949,0,0.078125,16384,8181.55,-0.848569,0.00248921,0.00117909,0.00111936,1.00111,1.6053,1.60711,286.528,0.99875,0.348625,0.00617831,0.634
b1_skew_kl,2,100,0.398113,0.398113,-2.05747,0.385181,,,,0.270267,,,,0,0,,,,0.47445,0.570577,0.270267,0,0,-0.0799541,0,0.0799541,0.09375,0.09375,430.043,0,0.0390625,16384,8940.47,-0.97158,0.00268817,0.00122775,0.00111897,1.00112,1.63684,1.63873,304.505,0.998824,0.635067,0.00619206,0.61
b1_skew_kl,2,125,0.382646,0.382646,-1.99962,0.382012,,,,0.256487,,,,0,0,,,,0.469725,0.492478,0.256487,0,0,-0.0972444,0,0.0972444,0.132812,0.132812,439.515,0,0.046875,16384,9257.19,149.811,0.00239325,0.00123973,0.00128875,1.00133,1.64437,1.6466,309.069,0.998974,0.593452,0.00623297,0.59
b1_skew_kl,2,150,0.38597,0.38597,-2.01301,0.391214,,,,0.257042,,,,0,0,,,,0.479592,0.482363,0.257042,0,0,-0.134278,0,0.134278,0.164062,0.164062,396.464,0,0.03125,16384,8736.52,-0.946337,0.00267327,0.00129758,0.00126701,1.00128,1.64893,1.65111,272.717,0.998725,0.511307,0.00645366,0.614
b1_skew_kl,2,175,0.360007,0.360007,-1.94027,0.360164,,,,0.240243,,,,0,0,,,,0.435993,0.429469,0.240243,0,0,-0.0622612,0,0.0622612,0.0859375,0.0859375,447.658,0,0.0390625,16384,9547.09,-0.929993,0.00253177,0.00125524,0.00124694,1.00126,1.58546,1.5875,318.518,0.998723,0.945869,0.00617909,0.646
b1_skew_kl,2,200,0.37095,0.37095,-1.95927,0.382156,,,,0.245661,,,,0,0,,,,0.477414,0.441655,0.245661,0,0,-0.100991,0,0.100991,0.109375,0.109375,412.727,0,0.03125,16384,9091.44,-0.997146,0.00246239,0.00129969,0.00137012,1.00141,1.65225,1.65465,288.477,0.998645,0.373913,0.00643255,0.648
b1_skew_kl,2,225,0.34697,0.34697,-1.9273,0.341579,,,,0.232228,,,,0,0,,,,0.429641,0.469304,0.232228,0,0,-0.107333,0,0.107333,0.125,0.125,595.883,0,0.203125,16384,11317,-0.999577,0.00248528,0.00123322,0.00123143,1.00127,1.58104,1.5831,440.691,0.9983,0.541189,0.0060944,0.472
b1_skew_kl,2,250,0.242929,0.242929,-1.57834,0.208406,,,,0.161095,,,,0,0,,,,0.303039,0.328826,0.161095,0,0,-0.105347,0,0.105347,0.101562,0.101562,1004.67,0,0.914062,16384,15795.5,-0.966832,0.00181556,0.000893708,0.000883719,1.00089,1.37309,1.37435,793.126,0.998807,0.410377,0.00445396,0.482
b2_forward_kl,0,25,,,,,,,,0.541984,,,-0.0207194,,,,0.828121,0.912722,2.39258,4.92996,0.541984,,,,,0.00813167,0.015625,0.015625,100.966,0,0.0078125,9954,1075.08,2.01348,0.0027777,0.00138325,0.00138057,1.00142,16.6327,16.6539,40.3512,0.99962,0.110014,0.00449689,0.55
b2_forward_kl,0,50,,,,,,,,0.605125,,,-0.0260204,,,,0.926947,0.984786,1.5,3.82427,0.605125,,,,,0.0485326,0.0546875,0.0546875,541.207,0,0.242188,16384,8517.79,1.01427,0.0031575,0.00161827,0.00166507,1.00164,5.63801,5.64741,409.597,0.999362,0.301933,0.00610089,0.588
b2_forward_kl,0,75,,,,,,,,0.515142,,,-0.0233917,,,,0.9499,0.994114,1.31621,1.40997,0.515142,,,,,0.0398761,0.046875,0.046875,570.191,0,0.09375,16384,10172.5,-0.980481,0.00351703,0.00171388,0.00168114,1.00169,3.95993,3.96682,418.601,0.999245,0.242874,0.00664932,0.522
b2_forward_kl,0,100,,,,,,,,0.472194,,,-0.0212392,,,,0.960343,0.99508,1.23915,0.689397,0.472194,,,,,0.0456514,0.0625,0.0625,551.219,0,0.0234375,16384,9700.72,-0.999474,0.00348139,0.00180918,0.00188262,1.0019,3.59689,3.60389,410.898,0.99915,0.655041,0.0071659,0.448
b2_forward_kl,0,125,,,,,,,,0.435526,,,-0.0196292,,,,0.965479,0.995819,1.14833,0.548349,0.435526,,,,,0.131001,0.132812,0.132812,568.205,0,0.0234375,16384,9935.62,-0.999538,0.00348055,0.00177726,0.0018202,1.00182,3.24445,3.2505,426.811,0.999141,0.245854,0.00722116,0.492
b2_forward_kl,0,150,,,,,,,,0.401344,,,-0.0180806,,,,0.970707,0.996649,1.06045,0.590211,0.401344,,,,,0.0634331,0.078125,0.078125,735.739,0,0.265625,16384,12540.8,-1,0.00338733,0.00171781,0.00174929,1.00176,3.00159,3.00699,560.804,0.999158,0.306562,0.00708317,0.462
b2_forward_kl,0,175,,,,,,,,0.303736,,,-0.0135208,,,,0.978573,0.997327,0.81659,0.36148,0.303736,,,,,0.0519165,0.0546875,0.0546875,1044.65,0,0.882812,16384,15674.5,-0.930159,0.00273991,0.00136723,0.00136869,1.00139,2.3269,2.33028,817.306,0.999264,0.27732,0.00575551,0.422
b2_forward_kl,1,25,,,,,,,,0.483178,,,-0.0183551,,,,0.87492,0.939615,1.83297,4.32074,0.483178,,,,,0,0,0,94.1385,0,0.0078125,12773,1123.83,1.69732,0.00249636,0.00117019,0.00109448,1.00086,12.3267,12.3309,46.1507,0.99967,0.174254,0.00406421,0.55
b2_forward_kl,1,50,,,,,,,,0.595228,,,-0.0256163,,,,0.927037,0.984016,1.47562,3.73945,0.595228,,,,,0.0185486,0.0390625,0.0390625,512.886,0,0.21875,16384,7395.24,6.3193,0.0031184,0.00157072,0.00159135,1.00147,5.8273,5.83595,366.731,0.999385,0.170963,0.00593418,0.572
b2_forward_kl,1,75,,,,,,,,0.520298,,,-0.0237752,,,,0.950827,0.994061,1.28581,1.33115,0.520298,,,,,0.0656073,0.0703125,0.0703125,550.339,0,0.0859375,16384,9759.53,595.501,0.00350654,0.00172805,0.00171309,1.0017,3.95335,3.96028,409.37,0.999231,0.205687,0.00675535,0.518
b2_forward_kl,1,100,,,,,,,,0.474388,,,-0.0211664,,,,0.957838,0.994629,1.26368,0.696456,0.474388,,,,,0.0375855,0.0390625,0.0390625,509.732,0,0.0078125,16384,8983.88,-0.999606,0.00375211,0.00180763,0.00175204,1.00175,3.67636,3.68295,380.553,0.999165,0.399489,0.00709852,0.456
b2_forward_kl,1,125,,,,,,,,0.432169,,,-0.0194659,,,,0.966705,0.995969,1.12396,0.479013,0.432169,,,,,0.0768506,0.0859375,0.0859375,580.542,0,0.0078125,16384,10156.7,-0.999963,0.00341666,0.00177405,0.00184197,1.00187,3.17286,3.17896,436.984,0.999129,0.399817,0.00721938,0.476
b2_forward_kl,1,150,,,,,,,,0.400001,,,-0.0179668,,,,0.97126,0.996628,1.04013,0.583011,0.400001,,,,,0.0573832,0.0703125,0.0703125,783.5,0,0.328125,16384,12926,-1,0.0035038,0.00172057,0.0016956,1.00173,2.94351,2.94871,597.193,0.999114,0.214714,0.00719757,0.48
b2_forward_kl,2,25,,,,,,,,0.523049,,,-0.0203404,,,,0.827804,0.907561,2.33615,4.75816,0.523049,,,,,0.0144025,0.0234375,0.0234375,102.459,0,0.0078125,16384,1087.05,1.51175,0.00273287,0.00136383,0.00136253,0.999709,207.392,198.44,56.1767,0.999629,0.672417,0.00446598,0.522
